Key	en-US	zh-CN
Close	Close	关闭
MustSetSettingsOnce	Must set settings once...	第一次使用前一定要先设置...
UILanguage	UI Language: 	界面语言：
SpeechLanguage	Speech Language: 	语音语言：
MakeSureTheKeysAreConsistentWithGame	Make sure the keys are consistent with the in-game settings, and note setting to "hold": 	与游戏内设置的按键保持一致，注意必须设置为“按住”：
ArrowKeys	Arrow Keys	上下左右
StronglyRecommendedArrowKeys	It's strongly recommended to use arrow keys so that you can call while running.	强烈建议使用“上下左右”，可以在跑动中呼叫战略。
PlayNameWhenCalling	Play the stratagem name when calling	呼叫时播放战略名字，选择声优：
Refresh	Refresh	刷新
UpdateUrl	Update URL: 	更新地址，群友加速专用：
CheckForUpdate	Check for update	检查更新
UseMicrophoneToCallOut	Use microphone to call out	麦克风呼叫
WakeUpWordExplain	Wakeup word (optional). This can reduce the false recognition rate: 	唤醒词（可选）。例如“好好学习”，就要用“好好学习飞鹰空袭”来呼叫“飞鹰空袭”。可以减少误识别率：
RecognitionConfidenceExplain	Recognition confidence. If it's too high, it won't recognize; if it's too low, it will frequently misrecognize. Press "Calibrate recognition" for automatic calibration, or manually adjust based on recognition results: 	识别阈值。太大无法识别，太小经常误识别。按“识别校准”自动校准，或者根据识别结果手动调整：
CalibrateRecognitionExplain	Calibrate recognition. Automatically calibrate by saying the strategy name three times…	识别校准，通过念三次战略名字自动校准…
SelectMicrophoneExplain	If there are multiple microphones and it cannot recognize the voice, try manually selecting the microphone: 	如果有多个麦克风，且无法识别语音，可以尝试手动选择麦克风：
UseHotkeyToCallOut	Use hotkey to call out	快捷键呼叫
SettingHotkeyStratagemsViaMicrophone	Support for setting hotkey stratagems via microphone	支持通过语音设置快捷键战略
ShowSpeechRecognitionInfoWindow	Show speech recognition info window	显示语音信息窗口
SaveConfiguration	Save configuration	保存配置
SaveAsNewConfiguration	Save as new configuration	保存为新配置
DeleteConfiguration	Delete configuration	删除配置
ClickOnStratagemExplain	Left click to select strategy, right click to customize microphone call name	左键选择战略，右键自定义麦克风呼叫名字
CalibrateRecognition	Calibrate recognition	校准语音识别
EditCustomName	Edit custom name	编辑自定义名称
DefaultNames	Default names (separated by |):	默认名称（用|分隔）：
CustomNames	Custom names (separated by |):	自定义名称（用|分隔）：
OK	OK	确定
Cancel	Cancel	取消
RecognitionConfidence	Recognition confidence: 	识别阈值：
Yes	Yes	是
No	No	否
Error	Error	错误
SpeechRecognitionEngineNotInstalled	The speech recognition engine has not been installed.	没有安装语音识别引擎
SpeechRecognitionEngineOfLanguageNotInstalled	The speech recognition engine of {0} has not been installed.	没有安装 {0} 的语音识别引擎
CreatingSpeechRecognitionFailed	Creating speech recognition failed.	创建语音识别失败
Failed	Failed	失败
Success	Success	成功
RecognitionResult	[{0}] Recognition Confidence: {1:F3} Text: {2}	【{0}】识别阈值：{1:F3} 识别文字：{2}
Info	Info	信息
NewVersionDetectedWantUpdate	A new version has been detected. Do you want to update?	发现新版本，是否更新？
YouHaveTheLatestVersion	You have the latest version.	已经是最新版本
PleaseTurnOnMicrophoneCallOut	Please turn on the microphone calling out first.	请先开启麦克风呼叫功能
PleaseReadThis	Please read "{0}{1}"	请朗读 “{0}{1}”
StratagemToolTip	\nDefault names: {0}\nCustom names: {1}\n\nEdit the custom name by right-clicking.	\n默认名称：{0}\n自定义名称：{1}\n\n按右键编辑自定义名称。
None	None	无
FailedToKillOtherInstances	Unable to exit the previously running program. Functionality may be abnormal. Please clean it up manually before starting again.	无法退出之前运行的程序，功能可能会不正常，请手工清理后再启动。
SpeechRecognitionInfoWindowClickThrough	Click through	点击穿透
SpeechSettings	Speech settings	语音设置
Unknown	Unknown	未知
Gun	Gun	枪械
Cannon	Cannon	大炮
Orbital	Orbital	轨道
Eagle	Eagle	飞鹰
Pack	Pack	背包
Vehicle	Vehicle	载具
Sentry	Sentry	炮台
Mines	Mines	地雷
Mission	Mission	任务
Melee	Melee	近战
DisableMirrorDownload	Disable mirror download	禁用镜像下载
