Keys	zh	en	RawIconName	Type
	爱国行政中心	Patriotic Administration Center		
↓ ← ↓ ↑ →	机枪	Machine Gun	0x4ac3ccfffba4fa71	B
↓ ← → ↑ ↓	反器材步枪|反器材	Anti-Material Rifle|Anti-Material	0xe9ee8e33bd31752e	B
↓ ← ↓ ↑ ↑ ←	盟友	Stalwart	0x2927b1eaa64d86fb	B
↓ ↓ ← ↑ →	消耗性反坦克武器|次抛	Expandable Anti-Tank|Anti-Tank	0xcf20900c57479ca6	B
↓ ← → → ←	无后座力步枪|无后座力	Recoilless Rifle|Recoilless	0x938467b5fb78f74b	B
↓ ← ↑ ↓ ↑	火焰喷射器|喷火器	Flamethrower	0x37666bd2f5547999	B
↓ ← ↓ ↑ ↑ →	机炮	Autocannon	0xbb3d4d369252c9d2	B
↓ ← ↑ ↓ ↓	重机枪	Heavy Machine Gun	0x267af54d199b9b65	B
↓ ↑ ↑ ← →	空爆火箭发射器|空爆火箭	Airburst Rocket Launcher|Airburst Rocket	0x840b878e77d6f2d2	B
↓ ← ↑ ↓ →	突击兵	Commando	0x8fa2534b83773256	B
↓ → ↓ ↑ ← →	磁轨炮	Railgun	0x5a963eb78223547e	B
↓ ↓ ↑ ↓ ↓	飞矛	Spear	0x49c7f8beeaebb0e7	B
↓ ↓ ↑ ↓ →	StA-X3 W.A.S.P.发射器|飞弹发射器	StA-X3 W.A.S.P. Launcher	0x80083f2a80f0a521	B
	轨道加农炮	Orbital Cannons		
→ ↓ ← ↑ ↑	加特林火力网|轨道加特林	Orbital Gatling Barrage|Orbital Gatling	0xcc1ae3ee1883f5e4	R
→ → →	轨道空爆攻击|轨道空爆	Orbital Airburst Attack|Orbital Airburst	0xaf257d46099b5b1b	R
→ → ↓ ← → ↓	轨道120MM高爆火力网|轨道120	Orbital 120MM HE Barrage|Orbital 120	0x9c9b3dce316f1256	R
→ ↓ ↑ ↑ ← ↓ ↓	轨道380MM高爆火力网|轨道380	Orbital 380MM HE Barrage|Orbital 380	0x90080a083b5cb566	R
→ ↓ → ↓ → ↓	轨道游走火力网|轨道游走	Orbital Walking Barrage|Orbital Walking	0x94ae892dadb6abed	R
→ ↓ ↑ → ↓	轨道激光炮|轨道激光	Orbital Laser	0x5e4086c313b3bb84	R
→ → ↓ ← → ↑	轨道凝固汽油弹火力网|轨道汽油弹	Orbital Napalm Barrage	0x1393c79c3a21bc90	R
→ ↑ ↓ ↓ →	轨道炮攻击|轨道炮	Orbital Railcannon Strike|Orbital Railcannon	0x802bae2545d65292	R
	机库	Hangar		
↑ → →	飞鹰机枪扫射|飞鹰机枪	Eagle Strafing Run|Eagle Strafing	0x39032a0ee6990e4a	R
↑ → ↓ →	飞鹰空袭	Eagle Airstrike	0xae1ff433380f2b1a	R
↑ → ↓ ↓ →	飞鹰集束炸弹|飞鹰集束	Eagle Cluster Bomb|Eagle Cluster	0x9665eaa5ebb73b41	R
↑ → ↓ ↑	飞鹰凝固汽油弹空袭|飞鹰汽油弹|飞鹰燃烧弹	Eagle Napalm Airstrike|Eagle Napalm	0x3ec6a98542325181	R
↓ ↑ ↑ ↓ ↑	喷射背包|飞行背包	Jump Pack|Jetpack|Flight Pack	0x06d8aed112c0702e	B
↑ → ↑ ↓	飞鹰烟雾攻击|飞鹰烟雾	Eagle Smoke Strike|Eagle Smoke	0xe768c8e161674303	R
↑ → ↑ ←	飞鹰110MM火箭巢|飞鹰110	Eagle 110mm Rocket Pods|Eagle 110	0x3aede94d73a6369b	R
↑ → ↓ ↓ ↓	飞鹰500KG炸弹|飞鹰500	Eagle 500KG Bom|Eagle 500	0xf96a659ebffdfbe4	R
← ↓ → ↓ → ↓ ↑	快速侦查载具	Fast Recon Vehicle	0x4269783e5c3f1157	B
	舰桥	Bridge		
→ → ↑	轨道精准攻击|轨道精准	Orbital Precision Strike|Orbital Precision	0x53031033ee7a60e3	R
→ → ↓ →	轨道毒气攻击|轨道毒气	Orbital Gas Strike|Orbital Gas	0x78f1e50b852cfb79	R
→ → ← ↓	轨道电磁冲击波攻击|轨道电磁波|轨道电磁	Orbital EMS Strike|Orbital EMS	0x866864809c2204c9	R
→ → ↓ ↑	轨道烟雾攻击|轨道烟雾	Orbital Smoke Strike|Orbital Smoke	0xa9944fd09947310f	R
↓ ↑ ← → → ←	重机枪部署支架|机枪支架	HMG Emplacement	0xbd881825d4655014	G
↓ ↓ ← → ← →	防护罩生成中继器|防护罩生成器	Shield Generator Relay	0xcf6ee0ff5baaa7d9	G
↓ ↑ → ↑ ← →	特斯拉塔|特斯拉	Tesla Tower|Tesla	0xc494423c82545847	G
	工程港	Engineering Bay		
↓ ← ↑ →	反步兵雷区|地雷	Anti-Personnel Minefield|Mines	0x70ffbe63c3c5252a	G
↓ ← ↓ ↑ ↑ ↓	补给背包	Supply Pack	0xe91ac7a0f72ac1fd	B
↓ ← ↑ ← ↓	榴弹发射器|榴弹	Grenade Launcher|Grenade	0xc7cd49c76480b2b3	B
↓ ← ↓ ↑ ←	激光大炮|激光炮	Laser Cannon|Laser	0xc423870a1f604d7e	B
↓ ← ← ↓	燃烧地雷	Incendiary Mines	0xa3b1d523adcfa2c3	G
↓ ↑ ← ↑ → →	护卫犬漫游车|激光狗|漫游车	Guard Dog Rover|Laser Dog|Rover	0x1832a7793911eb74	B
↓ ← ↓ ↓ ↑ ←	防弹护盾背包	Ballistic Shield Backpack|Ballistic Shield	0x4825c710f80da053	B
↓ → ↓ ↑ ← ←	电弧发射器|电弧枪	Arc Thrower|Arc Gun	0xd29b6f004139c1ea	B
↓ ← ↑ ↑	反坦克地雷	Anti-tank Mines	0xbbc50c4f93b693d2	G
↓ ↓ ↑ ← →	类星体加农炮|类星体|星体炮	Quasar Cannon|Quasar	0x9493d2068b2ed250	B
